installid,date,size,cost,subsidy,zip,city,state
R01129,2011-06-09,8.61,45598.89,11399.72,19809,Wilmington,DE
R00728,2011-04-26,1.575,12127.5,6063.75,19701,Bear,DE
R00810,2011-03-04,4.2,36450,18225,19804,Wilmington,DE
R01903,2013-12-10,5.17,28435,6377,19958,Lewes,DE
R00907,2010-12-15,3.964,32385.88,8096.47,19971,Dewey Beach,DE
R00168,2007-07-26,4,45000,22500,19734,Townsend,DE
R00988,2011-06-06,5.2,30992,7748,19971,Rehoboth Beach,DE
R01500,2013-06-06,6.96,32980,7720,19711,Newark,DE
DEC01133,2014-11-13,5.61,29975,2500,19958,Lewes,DE
R00725,2010-06-02,1.8,13770,6885,19701,Bear,DE
NewarkR00028,2011-05-17,4.725,34000,8500,19711,Newark,DE
R01629,2013-02-18,4.8,20520,6000,19702,Newark,DE
R02239,2015-04-03,7.2,24732,7765,19808,Wilmington,DE
R01114,2011-12-07,2.25,15750,3937.5,19901,Dover,DE
DEC00727,2012-02-08,4.44,28080,5550,19966,Millsboro,DE
R01690,2013-02-18,3.168,9300,2376,19734,Townsend,DE
R00893,2010-11-08,5.88,41672.04,10418.01,19934,Camden,DE
R01540,2012-11-15,9.6,52360,9700,19810,Wilmington,DE
R01966,2014-05-23,8.52,24240,8893.75,19958,Lewes,DE
R02057,2015-03-31,5.94,20876,6955,19971,Rehoboth Beach,DE
R00707,2012-04-09,3.8,34930,17465,19805,Wilmington,DE
R00520,2009-02-11,7.2,67500,31500,19971,Rehoboth Beach,DE
R00392,2008-08-15,3.78,29975,14988,19970,Ocean View,DE
DEC01191,2015-08-06,6.24,18771,2500,19960,Lincoln,DE
R01407,2012-04-02,5.18,32760,6385,19958,Lewes,DE
R02200,2015-07-24,12.48,37932,10868,19701,Wilmington,DE
DEC00301,2009-09-15,5.775,46068,15000,19968,Milton,DE
DEC00915,2013-07-03,5.5,30250,4725,19966,Millsboro,DE
DEC00381,2010-03-15,4.515,33863,11286.53,19971,Rehoboth Beach,DE
R00489,2008-11-06,7.668,61600,30800,19970,Ocean View,DE
R00716,2009-12-08,1.4,10710,5355,19701,Bear,DE
R00764,2011-06-06,3.168,29000,14500,19709,Middletown,DE
R00365,2008-11-06,3.8,34270,17135,19968,Milton,DE
R00460,2009-02-23,1.4,10710,5355,19701,Bear,DE
R00098,2006-07-12,6,45000,22500,19808,Wilmington,DE
DEC01160,2015-02-10,5.5,27250,2500,19958,Lewes,DE
DEC01163,2015-03-06,5.5,29500,2500,19958,Lewes,DE
R00912,2011-03-10,8.61,59409,14852.25,19934,Wyoming,DE
R00463,2009-02-11,5.04,39967,19983.5,19975,Selbyville,DE
R01397,2012-03-21,3.42,13416.8,4275,19966,Millsboro,DE
R02124,2015-10-07,6,32700,7000,19970,Ocean View,DE
R01202,2012-01-11,5.88,37500,9375,19709,Middletown,DE
R01673,2013-03-25,16.83,60588,12390.5,19707,Hockessin,DE
R00591,2009-02-11,3.8,29204,14602,19953,Hartly,DE
DEC01164,2015-03-06,5.5,29500,2500,19971,Rehoboth Beach,DE
R01914,2014-04-21,2.65,8774,1987.5,19734,Townsend,DE
R00681,2010-04-28,6.075,47992.5,23996.25,19709,Middletown,DE
R01854,2014-05-23,6,29175,7000,19958,Lewes,DE
DEC00821,2012-07-11,5.32,33250,4644,19966,Millsboro,DE
R00680,2009-06-12,4,33650,16825,19970,Clarksville,DE
R01581,2013-05-06,4.6,18750,5750,19711,Newark,DE
R02260,2015-04-03,8.1,23410,8575,19707,Hockessin,DE
R02001,2014-04-21,5.3,20670,6475,19958,Lewes,DE
R01135,2011-12-07,4.14,23556.6,5889.15,19713,Newark,DE
DEC00353,2010-01-19,8.695,53524.24,15000,19977,Smyrna,DE
MiddletownR00005,2010-02-19,3.168,25750,12875,19709,Middletown,DE
DoverR00023,2010-09-08,6.45,31397.71,7282.92,19901,Dover,DE
DEC00138,2008-07-12,3.6,29856,14928,19904,Dover,DE
DEC00102 - B,2008-05-03,-1,-1,-1,19958,Lewes,DE
R01575,2012-11-15,5.64,35250,6730,19970,Ocean View,DE
DEC01142,2015-04-27,5.5,29500,2500,19958,Lewes,DE
DEC00867,2012-09-05,4.23,26437,3807,19958,Lewes,DE
R00602,2009-09-11,5.118,40896,20448,19945,Frankford,DE
DEC00992,2013-10-11,5.5,30250,4375,19958,Lewes,DE
R00477,2008-11-06,5.95,49000,24500,19808,Wilmington,DE
R01703,2013-03-25,6.58,34545,7435,19968,Milton,DE
DEC01161,2015-02-23,5.5,29500,2500,19958,Lewes,DE
NewarkR00022,2010-11-24,6.65,45000,14998.5,19711,Newark,DE
R00871,2010-10-01,4.375,37959,9489,19971,Rehoboth Beach,DE
R00791,2010-06-02,5.775,45600,22800,19970,Ocean View,DE
DoverR00044,2013-12-03,10,33500,7500,19904,Dover,DE
R01170,2011-04-29,9.165,52698.75,13174.69,19977,Smyrna,DE
DEC00414,2010-06-15,7.59,45000,14998.5,19975,Selbyville,DE
R02079,2015-03-04,8.91,9182.5,-1,19944,Fenwick Island,DE
DEC00288,2009-07-21,3.78,28395,9464.05,19970,Ocean View,DE
DEC00660,2011-11-08,6.11,39715,7082.5,19958,Lewes,DE
R01123,2011-02-03,12.9,79335,19833.75,19933,Bridgeville,DE
NewarkR00013,2009-08-28,4,30000,15000,19711,Newark,DE
DEC00158,2008-09-09,4,33796,15000,19934,Wyoming,DE
R00401,2009-01-15,6.72,54768,27384,19702,Newark,DE
DEC01170,2015-03-30,5.5,29500,2500,19958,Lewes,DE
DEC00181,2008-09-21,3.24,31410,15000,19939,Dagsboro,DE
R01115,2011-12-07,3.78,18862,2240.5,19968,Milton,DE
R01089,2011-09-21,16.2,79151.96,19787.99,19707,Hockessin,DE
R02211,2015-10-07,5.04,20439,6280,19808,Wilmington,DE
